epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2548.86,0.71347,0.36813,0.93695,0.99028,0.97079,0.99023,0.83996,0.64065,0.32974,0.88184,0.0004952,0.0004952,0.0004952
78,2580.85,0.71934,0.37725,0.95248,0.99509,0.96409,0.98904,0.84901,0.61849,0.32903,0.87389,0.0004754,0.0004754,0.0004754
79,2611.41,0.72723,0.36983,0.9546,0.98559,0.97681,0.99094,0.85964,0.59569,0.32552,0.86532,0.0004556,0.0004556,0.0004556
80,2641.89,0.69421,0.3608,0.93758,0.98566,0.98194,0.99141,0.86238,0.58094,0.29871,0.86353,0.0004358,0.0004358,0.0004358
81,2673.17,0.70581,0.36694,0.94816,0.98767,0.98571,0.994,0.8669,0.58101,0.3018,0.8633,0.000416,0.000416,0.000416
82,2703.54,0.68962,0.35842,0.93849,0.98963,0.97381,0.99322,0.85184,0.61064,0.31316,0.87108,0.0003962,0.0003962,0.0003962
83,2735.45,0.69858,0.36298,0.94166,0.98559,0.97681,0.99255,0.84773,0.61344,0.31826,0.86936,0.0003764,0.0003764,0.0003764
84,2766.11,0.69518,0.35888,0.93645,0.98941,0.96905,0.99099,0.85295,0.61723,0.31461,0.86844,0.0003566,0.0003566,0.0003566
85,2797.44,0.69207,0.35344,0.94187,0.9784,0.98571,0.99255,0.85703,0.61705,0.31633,0.86923,0.0003368,0.0003368,0.0003368
86,2828,0.67775,0.35308,0.93491,0.99144,0.98095,0.99157,0.85989,0.60035,0.30471,0.86116,0.000317,0.000317,0.000317
87,2859.03,0.69024,0.35086,0.94094,0.98818,0.97857,0.98801,0.85336,0.61898,0.3066,0.86795,0.0002972,0.0002972,0.0002972
88,2890.07,0.67867,0.34972,0.93415,0.9846,0.98571,0.99183,0.86014,0.60802,0.29973,0.86577,0.0002774,0.0002774,0.0002774
89,2921.12,0.68482,0.35239,0.93266,0.98973,0.98095,0.99067,0.85821,0.60837,0.3046,0.86419,0.0002576,0.0002576,0.0002576
90,2952.15,0.67981,0.34306,0.93409,0.98911,0.98095,0.98867,0.86087,0.60126,0.29809,0.8629,0.0002378,0.0002378,0.0002378
91,2996.3,0.64607,0.30341,0.91213,0.988,0.98048,0.98954,0.85877,0.60787,0.30227,0.86521,0.000218,0.000218,0.000218
92,3027.31,0.64061,0.30089,0.90642,0.99019,0.97857,0.98847,0.85981,0.59794,0.30242,0.86352,0.0001982,0.0001982,0.0001982
93,3058.64,0.63565,0.29973,0.90694,0.98765,0.98095,0.98805,0.86238,0.59942,0.29435,0.86253,0.0001784,0.0001784,0.0001784
94,3089.95,0.62502,0.29927,0.9013,0.99217,0.97857,0.98845,0.86319,0.60655,0.29196,0.86482,0.0001586,0.0001586,0.0001586
95,3121.23,0.62285,0.29392,0.90401,0.98793,0.97465,0.98889,0.86326,0.60222,0.29683,0.8632,0.0001388,0.0001388,0.0001388
96,3153.96,0.62651,0.29188,0.90199,0.98637,0.97857,0.9895,0.86018,0.61444,0.29632,0.86499,0.000119,0.000119,0.000119
97,3184.77,0.61379,0.28887,0.89817,0.98728,0.97619,0.98906,0.86116,0.61262,0.29169,0.86488,9.92e-05,9.92e-05,9.92e-05
98,3216.63,0.61121,0.28598,0.89428,0.98242,0.97857,0.98888,0.86279,0.5979,0.28856,0.86225,7.94e-05,7.94e-05,7.94e-05
99,3247.61,0.60423,0.28491,0.88899,0.98257,0.97857,0.989,0.86224,0.61096,0.29035,0.86434,5.96e-05,5.96e-05,5.96e-05
100,3281.16,0.60295,0.28026,0.90154,0.98328,0.98014,0.98924,0.8617,0.60458,0.28773,0.8634,3.98e-05,3.98e-05,3.98e-05
